geo,year,country,recycling_rate,waste_generated_kg_pc,landfill_kg_pc,incineration_kg_pc,material_recycling_kg_pc,compost_digest_kg_pc,circular_material_use_rate,resource_productivity,environmental_tax_gdp,gdp_pc_eur,household_consumption_pc_eur,population_density,landfill_rate_proxy,incineration_rate_proxy,material_recycling_rate_proxy,compost_digest_rate_proxy,recycling_rate_lag1,recycling_rate_lag2,waste_generated_kg_pc_lag1,waste_generated_kg_pc_lag2,landfill_rate_proxy_lag1,landfill_rate_proxy_lag2,incineration_rate_proxy_lag1,incineration_rate_proxy_lag2,material_recycling_rate_proxy_lag1,material_recycling_rate_proxy_lag2,compost_digest_rate_proxy_lag1,compost_digest_rate_proxy_lag2,circular_material_use_rate_lag1,circular_material_use_rate_lag2,resource_productivity_lag1,resource_productivity_lag2,environmental_tax_gdp_lag1,environmental_tax_gdp_lag2,gdp_pc_eur_lag1,gdp_pc_eur_lag2,household_consumption_pc_eur_lag1,household_consumption_pc_eur_lag2,population_density_lag1,population_density_lag2,recycling_rate_trend_3y,landfill_rate_trend_3y,incineration_rate_trend_3y,ec_eea_2025_risk_label
NL,2016,Netherlands,53.5,520.0,7.0,235.0,135.0,144.0,29.7,4.4811,3.68,42290,18970,498.1,1.3461538461538463,45.19230769230769,25.96153846153846,27.692307692307693,51.8,50.9,523.0,527.0,1.338432122370937,1.5180265654648957,46.845124282982795,47.6280834914611,24.47418738049713,23.719165085388994,27.34225621414914,27.134724857685008,27.4,25.7,4.0441,3.7588,3.66,3.66,41270.0,40240.0,18700.0,18360.0,503.1,500.9,1.2333333333333343,-0.05825290045822359,-1.1589646095349504,0
NL,2017,Netherlands,54.6,513.0,7.0,226.0,136.0,144.0,28.5,4.4025,3.64,43830,19680,501.1,1.364522417153996,44.05458089668616,26.510721247563353,28.07017543859649,53.5,51.8,520.0,523.0,1.3461538461538463,1.338432122370937,45.19230769230769,46.845124282982795,25.96153846153846,24.47418738049713,27.692307692307693,27.34225621414914,29.7,27.4,4.4811,4.0441,3.68,3.66,42290.0,41270.0,18970.0,18700.0,498.1,503.1,1.2333333333333343,-0.051168049436966546,-1.1911675315916455,0
NL,2018,Netherlands,55.9,511.0,7.0,218.0,139.0,147.0,28.0,4.3792,3.63,45690,20440,504.0,1.36986301369863,42.6614481409002,27.201565557729943,28.767123287671232,54.6,53.5,513.0,520.0,1.364522417153996,1.3461538461538463,44.05458089668616,45.19230769230769,26.510721247563353,25.96153846153846,28.07017543859649,27.692307692307693,28.5,29.7,4.4025,4.4811,3.64,3.68,43830.0,42290.0,19680.0,18970.0,501.1,498.1,1.3666666666666671,0.010476963775897685,-1.3945587140275322,0
NL,2019,Netherlands,56.9,508.0,7.0,212.0,141.0,148.0,26.9,4.4134,3.61,47840,21000,507.3,1.3779527559055118,41.732283464566926,27.755905511811022,29.133858267716537,55.9,54.6,511.0,513.0,1.36986301369863,1.364522417153996,42.6614481409002,44.05458089668616,27.201565557729943,26.510721247563353,28.767123287671232,28.07017543859649,28.0,28.5,4.3792,4.4025,3.63,3.64,45690.0,43830.0,20440.0,19680.0,504.0,501.1,1.1333333333333329,0.010599636583888516,-1.1533414092469225,0
NL,2020,Netherlands,57.0,533.0,7.0,222.0,148.0,156.0,28.2,4.6059,3.57,46810,19990,507.3,1.3133208255159474,41.651031894934334,27.76735459662289,29.26829268292683,56.9,55.9,508.0,511.0,1.3779527559055118,1.36986301369863,41.732283464566926,42.6614481409002,27.755905511811022,27.201565557729943,29.133858267716537,28.767123287671232,26.9,28.0,4.4134,4.3792,3.61,3.63,47840.0,45690.0,21000.0,20440.0,507.3,504.0,0.7999999999999995,-0.017067197212682867,-0.8011830005839423,0
NL,2021,Netherlands,57.8,513.0,7.0,210.0,143.0,153.0,30.1,5.2272,3.43,50850,21700,510.2,1.364522417153996,40.93567251461988,27.87524366471735,29.82456140350877,57.0,56.9,533.0,508.0,1.3133208255159474,1.3779527559055118,41.651031894934334,41.732283464566926,27.76735459662289,27.755905511811022,29.26829268292683,29.133858267716537,28.2,26.9,4.6059,4.4134,3.57,3.61,46810.0,47840.0,19990.0,21000.0,507.3,507.3,0.6333333333333329,-0.0017801988482113451,-0.575258542093439,0
NL,2022,Netherlands,57.6,473.0,7.0,194.0,133.0,139.0,28.5,4.9668,2.9,56140,24710,517.8,1.4799154334038056,41.014799154334035,28.118393234672304,29.386892177589854,57.8,57.0,513.0,533.0,1.364522417153996,1.3133208255159474,40.93567251461988,41.651031894934334,27.87524366471735,27.76735459662289,29.82456140350877,29.26829268292683,30.1,28.2,5.2272,4.6059,3.43,3.57,50850.0,46810.0,21700.0,19990.0,510.2,507.3,0.23333333333333428,0.033987559166097935,-0.2391614367442969,0
NL,2023,Netherlands,57.9,465.0,7.0,189.0,129.0,140.0,32.0,5.8084,2.87,58740,26350,526.0,1.5053763440860215,40.645161290322584,27.741935483870968,30.107526881720432,57.6,57.8,473.0,513.0,1.4799154334038056,1.364522417153996,41.014799154334035,40.93567251461988,28.118393234672304,27.87524366471735,29.386892177589854,29.82456140350877,28.5,30.1,4.9668,5.2272,2.9,3.43,56140.0,50850.0,24710.0,21700.0,517.8,510.2,0.29999999999999954,0.0640185061900247,-0.33529020153725025,0
PL,2005,Poland,5.6,319.0,226.0,1.0,10.0,8.0,,0.5543,2.68,6470,4070,122.1,70.84639498432603,0.31347962382445144,3.134796238244514,2.5078369905956115,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
PL,2006,Poland,6.9,321.0,236.0,1.0,13.0,9.0,,0.574,2.65,7230,4480,122.0,73.5202492211838,0.3115264797507788,4.049844236760125,2.803738317757009,5.6,,319.0,,70.84639498432603,,0.31347962382445144,,3.134796238244514,,2.5078369905956115,,,,0.5543,,2.68,,6470.0,,4070.0,,122.1,,,,,1
PL,2007,Poland,7.7,322.0,239.0,1.0,15.0,10.0,,0.553,2.74,8250,4970,121.9,74.22360248447205,0.3105590062111801,4.658385093167702,3.1055900621118013,6.9,5.6,321.0,319.0,73.5202492211838,70.84639498432603,0.3115264797507788,0.31347962382445144,4.049844236760125,3.134796238244514,2.803738317757009,2.5078369905956115,,,0.574,0.5543,2.65,2.68,7230.0,6470.0,4480.0,4070.0,122.0,122.1,,,,1
PL,2008,Poland,10.5,320.0,229.0,1.0,23.0,10.0,,0.5612,2.78,9640,5960,121.9,71.5625,0.3125,7.1875,3.125,7.7,6.9,322.0,321.0,74.22360248447205,73.5202492211838,0.3105590062111801,0.3115264797507788,4.658385093167702,4.049844236760125,3.1055900621118013,2.803738317757009,,,0.553,0.574,2.74,2.65,8250.0,7230.0,4970.0,4480.0,121.9,122.0,1.6333333333333335,0.23870167189132493,-0.0003265412748171455,1
PL,2009,Poland,13.2,316.0,221.0,1.0,37.0,4.0,,0.6009,2.66,8330,5120,124.6,69.9367088607595,0.31645569620253167,11.708860759493671,1.2658227848101267,10.5,7.7,320.0,322.0,71.5625,74.22360248447205,0.3125,0.3105590062111801,7.1875,4.658385093167702,3.125,3.1055900621118013,,,0.5612,0.553,2.78,2.74,9640.0,8250.0,5960.0,4970.0,121.9,121.9,2.0999999999999996,-1.1945134534747694,0.0016430721505842905,1
PL,2010,Poland,16.3,316.0,211.0,1.0,47.0,5.0,11.1,0.5901,2.72,9490,5920,124.2,66.77215189873418,0.31645569620253167,14.873417721518987,1.5822784810126582,13.2,10.5,316.0,320.0,69.9367088607595,71.5625,0.31645569620253167,0.3125,11.708860759493671,7.1875,1.2658227848101267,3.125,,,0.6009,0.5612,2.66,2.78,8330.0,9640.0,5120.0,5960.0,124.6,121.9,2.866666666666667,-2.4838168619126244,0.0019655633304505224,1
PL,2011,Poland,11.4,319.0,221.0,1.0,31.0,6.0,9.4,0.5015,2.64,9970,6170,124.3,69.27899686520377,0.31347962382445144,9.717868338557993,1.8808777429467085,16.3,13.2,316.0,316.0,66.77215189873418,69.9367088607595,0.31645569620253167,0.31645569620253167,14.873417721518987,11.708860759493671,1.5822784810126582,1.2658227848101267,11.1,,0.5901,0.6009,2.72,2.66,9490.0,8330.0,5920.0,5120.0,124.2,124.6,0.3000000000000001,-0.7611677115987447,0.0003265412748171455,1
PL,2012,Poland,12.0,317.0,212.0,1.0,33.0,5.0,11.0,0.5935,2.59,10190,6310,124.3,66.8769716088328,0.31545741324921134,10.410094637223974,1.5772870662460567,11.4,16.3,319.0,316.0,69.27899686520377,66.77215189873418,0.31347962382445144,0.31645569620253167,9.717868338557993,14.873417721518987,1.8808777429467085,1.5822784810126582,9.4,11.1,0.5015,0.5901,2.64,2.72,9970.0,9490.0,6170.0,5920.0,124.3,124.2,-0.39999999999999974,-1.0199124173088971,-0.00033276098444010954,1
PL,2013,Poland,15.1,297.0,184.0,20.0,39.0,6.0,12.2,0.6266,2.44,10260,6300,124.2,61.95286195286195,6.734006734006734,13.131313131313131,2.0202020202020203,12.0,11.4,317.0,319.0,66.8769716088328,69.27899686520377,0.31545741324921134,0.31347962382445144,10.410094637223974,9.717868338557993,1.5772870662460567,1.8808777429467085,11.0,9.4,0.5935,0.5015,2.59,2.64,10190.0,9970.0,6310.0,6170.0,124.3,124.3,-0.40000000000000036,-1.6064299819574093,2.1391836792680676,1
PL,2014,Poland,26.5,272.0,159.0,41.0,57.0,15.0,13.0,0.6572,2.58,10750,6510,123.7,58.455882352941174,15.073529411764707,20.955882352941178,5.514705882352941,15.1,12.0,297.0,317.0,61.95286195286195,66.8769716088328,6.734006734006734,0.31545741324921134,13.131313131313131,10.410094637223974,2.0202020202020203,1.5772870662460567,12.2,11.0,0.6266,0.5935,2.44,2.59,10260.0,10190.0,6300.0,6310.0,124.2,124.3,5.033333333333333,-3.607704837420864,4.920016595980085,1
PL,2015,Poland,32.5,286.0,155.0,38.0,75.0,17.0,11.9,0.6914,2.64,11390,6740,123.6,54.19580419580419,13.286713286713287,26.223776223776223,5.944055944055944,26.5,15.1,272.0,297.0,58.455882352941174,61.95286195286195,15.073529411764707,6.734006734006734,20.955882352941178,13.131313131313131,5.514705882352941,2.0202020202020203,13.0,12.2,0.6572,0.6266,2.58,2.44,10750.0,10260.0,6510.0,6300.0,123.7,124.2,6.833333333333333,-4.2270558043428705,4.323751957821359,1
PL,2016,Poland,34.8,307.0,140.0,60.0,85.0,21.0,10.6,0.6937,2.7,11270,6660,123.6,45.60260586319218,19.54397394136808,27.68729641693811,6.840390879478828,32.5,26.5,286.0,272.0,54.19580419580419,58.455882352941174,13.286713286713287,15.073529411764707,26.223776223776223,20.955882352941178,5.944055944055944,5.514705882352941,11.9,13.0,0.6914,0.6572,2.64,2.58,11390.0,10750.0,6740.0,6510.0,123.6,123.7,6.5666666666666655,-5.450085363223256,4.269989069120449,1
PL,2017,Poland,33.8,315.0,132.0,77.0,84.0,22.0,10.4,0.6853,2.67,12360,7380,123.6,41.904761904761905,24.444444444444443,26.666666666666668,6.984126984126984,34.8,32.5,307.0,286.0,45.60260586319218,54.19580419580419,19.54397394136808,13.286713286713287,27.68729641693811,26.223776223776223,6.840390879478828,5.944055944055944,10.6,11.9,0.6937,0.6914,2.7,2.64,11270.0,11390.0,6660.0,6740.0,123.6,123.6,2.4333333333333322,-5.51704014939309,3.123638344226579,1
